artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,track_name,track_preview_url,track_number,type,track_uri,is_local,external_urls.spotify,album_name,key_name,mode_name,key_mode
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.642,0.289,9,-9.918,1,0.0366,0.669,0,0.18,0.408,84.992,5smRnVMA4styRxLg68StSC,https://api.spotify.com/v1/audio-analysis/5smRnVMA4styRxLg68StSC,4,,,1,258372,FALSE,https://api.spotify.com/v1/tracks/5smRnVMA4styRxLg68StSC,The A Team,https://p.scdn.co/mp3-preview/ff29b12e4aaba27ed248510b80df556d252615ec?cid=39ca24fb42024ceb99322b3dbd28edc3,1,track,spotify:track:5smRnVMA4styRxLg68StSC,FALSE,https://open.spotify.com/track/5smRnVMA4styRxLg68StSC,+-=÷× (TOUR COLLECTION),A,major,A major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.749,0.835,7,-8.837,1,0.0511,0.165,0,0.525,0.929,103.485,4r83yXj8JlEX6MVLvhupq6,https://api.spotify.com/v1/audio-analysis/4r83yXj8JlEX6MVLvhupq6,4,,,1,220413,TRUE,https://api.spotify.com/v1/tracks/4r83yXj8JlEX6MVLvhupq6,"You Need Me, I Don't Need You",https://p.scdn.co/mp3-preview/869c2c9dfefff7c2fa8c164f56f53d5e4849c6a0?cid=39ca24fb42024ceb99322b3dbd28edc3,2,track,spotify:track:4r83yXj8JlEX6MVLvhupq6,FALSE,https://open.spotify.com/track/4r83yXj8JlEX6MVLvhupq6,+-=÷× (TOUR COLLECTION),G,major,G major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.592,0.636,11,-8.48,1,0.101,0.562,0,0.13,0.566,159.718,7xhNkxzgZLFu49BZBspPmX,https://api.spotify.com/v1/audio-analysis/7xhNkxzgZLFu49BZBspPmX,4,,,1,185093,FALSE,https://api.spotify.com/v1/tracks/7xhNkxzgZLFu49BZBspPmX,Lego House,https://p.scdn.co/mp3-preview/50b74b292e438c26cca126e9433109e48fd9c35e?cid=39ca24fb42024ceb99322b3dbd28edc3,3,track,spotify:track:7xhNkxzgZLFu49BZBspPmX,FALSE,https://open.spotify.com/track/7xhNkxzgZLFu49BZBspPmX,+-=÷× (TOUR COLLECTION),B,major,B major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.37,0.39,1,-8.685,1,0.0384,0.587,4.9e-6,0.0908,0.238,174.798,0o3wlw7aQMHwkaQiyAU60A,https://api.spotify.com/v1/audio-analysis/0o3wlw7aQMHwkaQiyAU60A,3,,,1,323807,FALSE,https://api.spotify.com/v1/tracks/0o3wlw7aQMHwkaQiyAU60A,Give Me Love,https://p.scdn.co/mp3-preview/b140d34f171b896a7a7ad96b404777b3fbf374e6?cid=39ca24fb42024ceb99322b3dbd28edc3,4,track,spotify:track:0o3wlw7aQMHwkaQiyAU60A,FALSE,https://open.spotify.com/track/0o3wlw7aQMHwkaQiyAU60A,+-=÷× (TOUR COLLECTION),C#,major,C# major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.818,0.67,8,-4.45,0,0.047,0.3,1.13e-6,0.0601,0.947,119.987,5wxRVeHlbX5WiN7q5Nj3ZH,https://api.spotify.com/v1/audio-analysis/5wxRVeHlbX5WiN7q5Nj3ZH,4,,,1,235382,FALSE,https://api.spotify.com/v1/tracks/5wxRVeHlbX5WiN7q5Nj3ZH,Sing,https://p.scdn.co/mp3-preview/4a74d069ce880ee95c6c51c211eda4285fafd037?cid=39ca24fb42024ceb99322b3dbd28edc3,5,track,spotify:track:5wxRVeHlbX5WiN7q5Nj3ZH,FALSE,https://open.spotify.com/track/5wxRVeHlbX5WiN7q5Nj3ZH,+-=÷× (TOUR COLLECTION),G#,minor,G# minor
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.807,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.047,72itamxdQe2EJbJn1Q2m8L,https://api.spotify.com/v1/audio-analysis/72itamxdQe2EJbJn1Q2m8L,4,,,1,219840,FALSE,https://api.spotify.com/v1/tracks/72itamxdQe2EJbJn1Q2m8L,Don't,https://p.scdn.co/mp3-preview/92261beca05e5dc861b5ffef25f2a1108d766304?cid=39ca24fb42024ceb99322b3dbd28edc3,6,track,spotify:track:72itamxdQe2EJbJn1Q2m8L,FALSE,https://open.spotify.com/track/72itamxdQe2EJbJn1Q2m8L,+-=÷× (TOUR COLLECTION),C#,major,C# major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.781,0.445,2,-6.061,1,0.0296,0.474,0,0.184,0.591,78.998,3yc56uWJblMLwKcicVuKQW,https://api.spotify.com/v1/audio-analysis/3yc56uWJblMLwKcicVuKQW,4,,,1,281560,FALSE,https://api.spotify.com/v1/tracks/3yc56uWJblMLwKcicVuKQW,Thinking out Loud,https://p.scdn.co/mp3-preview/c87c7689b6dc8d40684f9ba9c159b69f97bd6f56?cid=39ca24fb42024ceb99322b3dbd28edc3,7,track,spotify:track:3yc56uWJblMLwKcicVuKQW,FALSE,https://open.spotify.com/track/3yc56uWJblMLwKcicVuKQW,+-=÷× (TOUR COLLECTION),D,major,D major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.66,0.315,3,-11.567,0,0.0364,0.528,2.98e-4,0.104,0.542,91.207,0tyeXFnXYPobaHPdp3dRj6,https://api.spotify.com/v1/audio-analysis/0tyeXFnXYPobaHPdp3dRj6,4,,,1,300253,FALSE,https://api.spotify.com/v1/tracks/0tyeXFnXYPobaHPdp3dRj6,Bloodstream,https://p.scdn.co/mp3-preview/4056a91f7a33f09723462944954ba32427df4ce1?cid=39ca24fb42024ceb99322b3dbd28edc3,8,track,spotify:track:0tyeXFnXYPobaHPdp3dRj6,FALSE,https://open.spotify.com/track/0tyeXFnXYPobaHPdp3dRj6,+-=÷× (TOUR COLLECTION),D#,minor,D# minor
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.718,0.378,4,-10.48,1,0.0359,0.607,4.72e-4,0.0986,0.221,108.033,52aBxQk1yJ4qn9iwvW3UPb,https://api.spotify.com/v1/audio-analysis/52aBxQk1yJ4qn9iwvW3UPb,4,,,1,258986,FALSE,https://api.spotify.com/v1/tracks/52aBxQk1yJ4qn9iwvW3UPb,Photograph,https://p.scdn.co/mp3-preview/ae0fbebe71bd1af8b863538e04dc880f4467b142?cid=39ca24fb42024ceb99322b3dbd28edc3,9,track,spotify:track:52aBxQk1yJ4qn9iwvW3UPb,FALSE,https://open.spotify.com/track/52aBxQk1yJ4qn9iwvW3UPb,+-=÷× (TOUR COLLECTION),E,major,E major
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,5xD1PSd5c5APDM0SdkkqnH,album,,2024-09-27,2024,day,0.526,0.345,8,-10.497,1,0.0374,0.7,1.13e-5,0.105,0.357,121.877,1JsIsZnbJ6GNFAIIdiLCMw,https://api.spotify.com/v1/audio-analysis/1JsIsZnbJ6GNFAIIdiLCMw,4,,,1,241346,FALSE,https://api.spotify.com/v1/tracks/1JsIsZnbJ6GNFAIIdiLCMw,Tenerife Sea,https://p.scdn.co/mp3-preview/d0b00f698267ec48a7057b61358eafabe8ecdaf2?cid=39ca24fb42024ceb99322b3dbd28edc3,10,track,spotify:track:1JsIsZnbJ6GNFAIIdiLCMw,FALSE,https://open.spotify.com/track/1JsIsZnbJ6GNFAIIdiLCMw,+-=÷× (TOUR COLLECTION),G#,major,G# major
